Paises;Neoplasmas_malignos;Enfermedad_Alzheimer_y_otras_demencias;Miocardiopatia_miocarditis_endocarditis;Enfermedad_Pulmonar_Obstructiva_Cronica;Cirrosis_del_higado;Total
Afghanistan;19965;2363;428;4299;2621;29676
Albania;5138;1122;622;624;341;7848
Algeria;25166;11446;1463;4025;3720;45820
Angola;8455;2022;876;2323;4102;17779
Antigua and Barbuda;134;5;4;14;7;163
Argentina;65657;3763;3785;20679;3958;97843
Armenia;7953;1058;91;1018;861;10981
Australia;45749;14542;1512;8862;1638;72302
Austria;20899;2724;1369;3585;1602;30178
Azerbaijan;10136;1431;514;1566;2797;16445
Bahamas;532;68;34;25;44;703
Bahrain;456;110;28;64;55;713
Bangladesh;99620;14340;1729;64762;23143;203594
Barbados;732;104;38;57;24;955
Belarus;18808;3980;589;1929;2412;27717
Belgium;28807;8606;1072;6856;1466;46806
Belize;287;45;23;45;57;457
Benin;3918;897;381;1488;2184;8868
Bhutan;458;83;22;323;175;1061
Bolivia;7948;1983;313;2424;2684;15353
Bosnia and Herzegovina;7262;1944;797;1309;579;11891
Botswana;1099;225;132;434;154;2044
Brazil;233851;24200;18989;61886;25305;364231
Brunei Darussalam;402;62;31;74;22;590
Bulgaria;19367;241;477;3770;1723;25579
Burkina Faso;7307;1157;651;1398;2437;12950
Burundi;6585;616;355;1212;1599;10367
Cambodia;13067;2476;482;2205;6206;24435
Cameroon;11576;2031;983;3422;6353;24364
Canada;78306;25361;1575;14190;3493;122925
Cape Verde;310;101;16;85;78;590
Central African Republic;2397;434;148;704;693;4376
Chad;5325;889;497;1749;3568;12028
Chile;27958;3598;834;4548;2855;39793
China;2369538;563472;37931;895355;152047;4018344
Colombia;56239;1615;1731;10728;3393;73706
Comoros;467;72;32;82;106;759
Congo;1814;563;181;570;896;4024
Costa Rica;5774;575;266;1230;382;8227
Croatia;14151;1103;540;1867;983;18646
Cuba;24510;5210;910;4875;1596;37101
Cyprus;1929;331;69;433;74;2836
Czechia;27725;3091;720;3930;1881;37346
Democratic Republic of the Congo;38769;6680;2270;8610;9689;66018
Denmark;16506;4100;266;4085;733;25690
Djibouti;549;114;44;104;176;987
Dominican Republic;10479;1996;413;1138;1879;15904
Ecuador;13973;669;327;3190;2653;20812
Egypt;77673;17957;3673;17245;68866;185414
El Salvador;6605;2067;146;942;1620;11380
Equatorial Guinea;475;173;93;145;373;1259
Eritrea;2715;436;181;700;832;4864
Estonia;3959;146;210;271;281;4867
Ethiopia;50913;8316;2958;10347;16580;89114
Federated States of Micronesia;75;15;8;25;10;133
Fiji;613;2;65;142;7;830
Finland;12374;9634;541;1322;1183;25055
France;173396;49553;5689;20365;7775;256779
Gabon;757;400;99;228;504;1988
Gambia;587;143;51;218;325;1323
Georgia;7040;2225;341;1808;1520;12933
Germany;235379;48770;9303;48209;14901;356562
Ghana;11923;2672;1690;2965;6560;25811
Greece;31408;2085;522;6645;882;41543
Grenada;155;6;3;14;9;187
Guatemala;7993;386;173;1808;3137;13496
Guinea;4921;897;370;1866;2666;10720
Guinea-Bissau;719;90;36;208;278;1331
Guyana;548;15;77;133;169;943
Haiti;6824;1096;760;1831;1537;12048
Honduras;5502;1307;86;1337;1219;9452
Hungary;33009;3609;1664;5920;3102;47306
Iceland;654;231;10;126;11;1032
India;815148;140852;20490;819570;264193;2060252
Indonesia;216307;54743;14140;60806;59774;405771
Iran;59741;20494;1822;10378;4108;96543
Iraq;21151;3622;1525;1960;1041;29298
Ireland;9169;2506;234;2029;322;14260
Israel;12135;2269;206;1829;367;16806
Italy;173529;35443;5622;31191;8787;254572
Ivory Coast;10442;1593;1171;3860;8251;25318
Jamaica;3910;797;180;502;181;5569
Japan;399687;34389;7904;64257;17241;523479
Jordan;4446;1714;185;652;661;7658
Kazakhstan;25981;3194;2360;5789;7816;45141
Kenya;27375;2566;844;2333;2514;35631
Kiribati;75;15;9;19;14;133
Kuwait;1682;5;45;226;95;2053
Kyrgyzstan;3938;52;416;1391;2035;7832
Laos;5469;1014;289;1320;901;8993
Latvia;5939;280;816;321;410;7766
Lebanon;6101;3428;350;1075;850;11804
Lesotho;1277;223;148;766;160;2574
Liberia;1874;289;92;335;761;3351
Libya;4039;1648;240;771;734;7433
Lithuania;8186;367;483;574;780;10390
Luxembourg;1137;246;38;220;72;1714
Madagascar;14977;1282;1089;3635;1993;22975
Malawi;12316;1339;331;1260;1272;16518
Malaysia;24490;6818;1346;4899;2480;40033
Maldives;220;76;7;89;19;411
Mali;7765;1386;581;3187;2674;15592
Malta;949;144;20;138;23;1274
Mauritania;1581;414;121;410;736;3262
Mauritius;1227;39;72;598;152;2088
Mexico;80054;4017;1810;28045;28100;142026
Moldova;7119;184;496;889;3224;11912
Mongolia;3993;241;147;206;1132;5719
Montenegro;1421;288;204;168;40;2122
Morocco;25995;10806;1020;4659;2684;45164
Mozambique;20781;2252;673;1800;1459;26964
Myanmar;53965;11070;3921;22198;25545;116699
Namibia;992;294;157;481;164;2087
Nepal;17049;3778;324;13853;4328;39332
Netherlands;47314;16246;1220;9145;951;74876
New Zealand;9081;2262;263;1718;170;13495
Nicaragua;4122;1376;143;862;1553;8057
Niger;5569;1117;499;2118;2638;11941
Nigeria;81551;15183;7727;20238;60044;184743
Norway;11368;3659;227;2633;223;18110
Oman;1270;397;105;120;180;2071
Pakistan;117145;17248;3104;55521;31780;224797
Panama;3516;267;265;882;332;5261
Papua New Guinea;6793;603;369;1566;1214;10546
Paraguay;5779;1607;212;986;703;9286
Peru;28549;7721;870;4894;8644;50678
Philippines;65916;1047;3294;25236;7491;102984
Poland;106886;2863;4103;15710;6514;136075
Portugal;28172;6330;639;4750;1394;41285
Qatar;640;128;28;40;114;951
Republic of Korea;84573;12661;1317;10362;6513;115427
Republic of Macedonia;3989;59;3272;686;179;8184
Romania;52259;2199;4167;7313;8763;74702
Russian Federation;359090;51341;56740;29877;41091;538140
Rwanda;8529;959;365;1150;1376;12379
Saint Lucia;256;5;28;48;20;357
Saint Vincent and the Grenadines;166;5;5;17;6;199
Samoa;144;40;12;32;15;244
Sao Tome and Principe;111;17;6;52;62;248
Saudi Arabia;10845;4980;1204;1759;3209;21997
Senegal;5880;1229;289;1768;1941;11107
Serbia;23521;2147;15221;3961;773;45622
Seychelles;143;36;12;21;27;238
Sierra Leone;2512;404;303;1140;2095;6456
Singapore;8435;32;220;596;213;9495
Slovakia;14672;2425;407;1130;1525;20159
Slovenia;6266;169;337;574;526;7873
Solomon Islands;368;50;24;111;34;587
South Africa;50805;9273;4895;16445;5664;87083
South Sudan;8321;815;318;1106;1393;11954
Spain;110013;39048;4967;26763;5292;186083
Sri Lanka;20406;7907;2218;5271;5555;41357
Sudan;17653;4672;1474;5446;4838;34082
Suriname;627;113;42;66;101;948
Swaziland;742;96;80;269;100;1287
Sweden;23324;9496;601;4178;808;38409
Switzerland;18188;7177;1002;2901;696;29964
Syria;14195;3691;511;1430;1250;21077
Tajikistan;4555;871;187;1550;1212;8374
Thailand;94760;39390;4584;26810;15761;181304
Timor-Leste;838;136;37;150;87;1247
Togo;3336;512;231;1057;1404;6539
Tonga;122;27;4;26;10;189
Trinidad and Tobago;1874;123;83;221;113;2414
Tunisia;8323;5571;578;2209;1498;18179
Turkey;102561;43505;3219;26410;6173;181867
Turkmenistan;4528;598;472;398;2198;8194
Uganda;25573;2376;1200;3337;4748;37235
Ukraine;97076;18925;4546;11492;15429;147468
United Arab Emirates;1803;331;195;496;270;3095
United Kingdom;168188;82461;3155;37384;7715;298903
United Republic of Tanzania;27207;4538;1722;4495;6137;44099
United States of America;627709;259480;32518;193160;49789;1162655
Uruguay;8615;1439;323;1799;216;12391
Uzbekistan;13846;386;412;1837;7021;23501
Vanuatu;200;25;12;54;15;307
