Paises;Neoplasmas_malignos;Enfermedad_Alzheimer_y_otras_demencias;Miocardiopatia_miocarditis_endocarditis;Enfermedad_Pulmonar_Obstructiva_Cronica;Cirrosis_del_higado
Afghanistan;0.67;0.08;0.01;0.14;0.09
Albania;0.65;0.14;0.08;0.08;0.04
Algeria;0.55;0.25;0.03;0.09;0.08
Angola;0.48;0.11;0.05;0.13;0.23
Antigua and Barbuda;0.82;0.03;0.02;0.09;0.04
Argentina;0.67;0.04;0.04;0.21;0.04
Armenia;0.72;0.1;0.01;0.09;0.08
Australia;0.63;0.2;0.02;0.12;0.02
Austria;0.69;0.09;0.05;0.12;0.05
Azerbaijan;0.62;0.09;0.03;0.1;0.17
Bahamas;0.76;0.1;0.05;0.04;0.06
Bahrain;0.64;0.15;0.04;0.09;0.08
Bangladesh;0.49;0.07;0.01;0.32;0.11
Barbados;0.77;0.11;0.04;0.06;0.03
Belarus;0.68;0.14;0.02;0.07;0.09
Belgium;0.62;0.18;0.02;0.15;0.03
Belize;0.63;0.1;0.05;0.1;0.12
Benin;0.44;0.1;0.04;0.17;0.25
Bhutan;0.43;0.08;0.02;0.3;0.16
Bolivia;0.52;0.13;0.02;0.16;0.17
Bosnia and Herzegovina;0.61;0.16;0.07;0.11;0.05
Botswana;0.54;0.11;0.06;0.21;0.08
Brazil;0.64;0.07;0.05;0.17;0.07
Brunei Darussalam;0.68;0.11;0.05;0.13;0.04
Bulgaria;0.76;0.01;0.02;0.15;0.07
Burkina Faso;0.56;0.09;0.05;0.11;0.19
Burundi;0.64;0.06;0.03;0.12;0.15
Cambodia;0.53;0.1;0.02;0.09;0.25
Cameroon;0.48;0.08;0.04;0.14;0.26
Canada;0.64;0.21;0.01;0.12;0.03
Cape Verde;0.53;0.17;0.03;0.14;0.13
Central African Republic;0.55;0.1;0.03;0.16;0.16
Chad;0.44;0.07;0.04;0.15;0.3
Chile;0.7;0.09;0.02;0.11;0.07
China;0.59;0.14;0.01;0.22;0.04
Colombia;0.76;0.02;0.02;0.15;0.05
Comoros;0.62;0.09;0.04;0.11;0.14
Congo;0.45;0.14;0.04;0.14;0.22
Costa Rica;0.7;0.07;0.03;0.15;0.05
Croatia;0.76;0.06;0.03;0.1;0.05
Cuba;0.66;0.14;0.02;0.13;0.04
Cyprus;0.68;0.12;0.02;0.15;0.03
Czechia;0.74;0.08;0.02;0.11;0.05
Democratic Republic of the Congo;0.59;0.1;0.03;0.13;0.15
Denmark;0.64;0.16;0.01;0.16;0.03
Djibouti;0.56;0.12;0.04;0.11;0.18
Dominican Republic;0.66;0.13;0.03;0.07;0.12
Ecuador;0.67;0.03;0.02;0.15;0.13
Egypt;0.42;0.1;0.02;0.09;0.37
El Salvador;0.58;0.18;0.01;0.08;0.14
Equatorial Guinea;0.38;0.14;0.07;0.12;0.3
Eritrea;0.56;0.09;0.04;0.14;0.17
Estonia;0.81;0.03;0.04;0.06;0.06
Ethiopia;0.57;0.09;0.03;0.12;0.19
Federated States of Micronesia;0.56;0.11;0.06;0.19;0.08
Fiji;0.74;0;0.08;0.17;0.01
Finland;0.49;0.38;0.02;0.05;0.05
France;0.68;0.19;0.02;0.08;0.03
Gabon;0.38;0.2;0.05;0.11;0.25
Gambia;0.44;0.11;0.04;0.16;0.25
Georgia;0.54;0.17;0.03;0.14;0.12
Germany;0.66;0.14;0.03;0.14;0.04
Ghana;0.46;0.1;0.07;0.11;0.25
Greece;0.76;0.05;0.01;0.16;0.02
Grenada;0.83;0.03;0.02;0.07;0.05
Guatemala;0.59;0.03;0.01;0.13;0.23
Guinea;0.46;0.08;0.03;0.17;0.25
